GPS vareinace of 0.15
  2008.36    1938.4 0.0881374 0.0493272
   2008.63    1938.34  0.0574273 0.00823249
  2007.53   1938.92 -0.131455 0.0771228
  2006.73   1938.81 -0.127769 0.0113291
  2007.27   1937.75 0.0225473 -0.116123
  2007.92   1939.36 0.0878494  0.186026
   2007.04    1939.12 -0.0687491  0.0319672
   2008.24    1938.67   0.114815 -0.0415109
        2009      1938.73      0.12125 -3.90452e-05
   2007.99    1938.77 -0.0731519 0.00408844
  2007.28   1939.84 -0.101763  0.122811
   2007.19    1938.84 -0.0312505  -0.106522
   2006.65    1938.87 -0.0687851 -0.0297467
    2006.75     1940.52 -0.00888047    0.178031
   2007.3   1939.41 0.0687009 -0.110011
    2007.02     1938.92 -0.00896045  -0.0880838
  2007.84    1938.2 0.0894798 -0.107359
   2008.2   1939.28 0.0639076  0.119374
  2008.09   1938.59 0.0083753 -0.038173
   2007.24    1939.53 -0.0944957  0.0940996
   2007.6   1938.57 0.0291228 -0.106541
    2007.1    1939.78 -0.0456924  0.0989343
  2006.44   1940.35 -0.087886 0.0941102
 2005.32  1937.31 -2.03101 -2.19157
 2002.87  1935.23 -3.08748  -3.0357
 2001.03  1932.71 -4.17912 -4.15664
 1994.45  1926.32 -5.70476 -5.56226
 1987.98  1920.86 -7.05904 -6.77649
 1981.86  1913.06 -8.32624 -8.27745
 1969.53  1901.23  -9.5385 -9.28747
 1962.01   1893.2  -10.732 -10.5159
 1950.61  1882.63  -12.473 -12.0917
 1934.57  1866.79 -12.5323 -13.0488
 1921.19   1854.3 -14.4927 -14.7857
 1906.41  1839.31 -16.1885 -16.5517
 1885.86  1816.13 -16.4822 -17.1582
 1870.13   1800.9 -18.5122 -18.9561
 1850.29  1781.22 -19.1619 -19.5574
 1826.46  1757.48 -18.2393 -16.7999
 1810.43  1742.53 -19.1255 -17.9732
 1791.66  1724.34 -19.3205 -18.8964
 1767.12  1700.46 -17.8125  -17.428
 1750.82  1684.11 -18.7832 -18.4395
 1731.06  1665.32 -19.5248 -19.0793
 1708.26  1644.19 -17.5014 -16.9829
 1690.67  1626.99 -18.8723 -18.4393
 1672.25  1607.56 -19.3284 -19.0809
 1649.34  1584.64 -17.5504 -17.2866
 1632.53  1567.81 -18.0032 -17.7085
 1614.73  1551.57 -15.4409 -15.3299
 1599.17  1532.73 -13.5006 -14.0677
 1584.86  1519.62 -14.8092 -14.9395
  1568.4  1506.53  -15.458 -15.2029
 1549.21  1486.82 -15.4201 -12.6496
 1534.88  1474.83 -16.0251 -13.6051
 1518.98  1461.62 -16.4267 -14.0698
 1498.31  1443.63 -16.6832 -10.9628
 1483.33  1432.85 -17.3507 -12.0058
 1467.09  1420.86 -17.5771 -12.3812
 1448.38  1407.88 -11.3349 -7.96033
 1435.86  1401.78 -13.8124 -6.12441
 1420.46  1396.03 -14.6868 -6.63541
 1402.33  1386.03  -13.379 -6.44238
 1390.85   1381.8 -14.8597 -4.69755
 1375.06  1377.48 -15.5634 -4.90448
 1354.95  1371.83 -14.2364 -4.46241
 1340.36  1370.61  -15.727 -2.37514
 1326.14  1366.05 -15.9044 -2.90955
 1304.83  1363.04 -14.7912 -2.22788
 1290.77  1360.26 -15.6496 -2.91413
 1275.55  1359.13 -16.0043 -2.24547
 1256.56  1355.45   -14.66 -1.39416
 1243.19  1352.23 -15.5845 -1.79404
 1225.26   1351.3 -16.3736 -1.66364
 1205.94   1349.8 -14.7364 -1.47261
 1193.42  1350.14 -15.5518 -1.43409
 1177.45  1347.49 -16.1569 -1.75024
 1158.43  1345.58 -14.5505 -1.53096
 1144.26  1343.59 -15.6203 -1.70045
 1128.39  1342.72 -16.1692 -1.63075
  1106.94   1341.69  -15.0605 -0.685772
  1093.98   1340.99  -15.7525 -0.952665
 1077.44  1339.53 -16.3294 -1.28915
 1056.86  1335.93 -14.8319 -1.55535
 1044.79  1333.43 -15.5314 -1.57913
  1029.6  1333.77 -16.0477 -1.26573
  1008.2  1331.93 -15.0244 -1.26865
 996.039  1331.06 -15.6137 -1.31332
 979.359  1330.09 -16.3244 -1.34038
 961.083  1326.54 -14.4768 -1.48829
 945.501  1326.42 -15.7871 -1.29733
 929.483  1325.23 -16.3077  -1.3605
 909.147  1323.81 -14.7489 -1.21633
 895.243  1322.27 -15.6822 -1.27744
 879.454  1321.62 -16.2773 -1.23876
 859.781  1319.17 -14.6754 -1.27537
 845.962  1317.96 -15.6927 -1.15934
  829.883   1318.84  -16.2366 -0.630794
GPS vareinace of 5


 2066.01  1355.75  -0.9318 0.342152
2301.79 1513.37  17.731 15.1269
2393.29 1578.88 11.1786 13.0707
    2398  1584.87 0.858901  9.02383
 2399.36  1596.82 -4.02388  8.57189
 2396.54  1597.45 -6.40298  7.05005
 2381.85  1606.29 -9.57698    9.216
 2373.22  1620.92 -9.63132  10.2758
  2355.9  1630.64 -9.47369  8.68058
  2346.3  1644.08 -9.57639  9.82073
 2337.88  1643.39 -8.41611  9.57971
 2335.52  1660.87 0.851533   13.356
2344.56 1674.99 11.1226 10.1569
 2352.9 1686.13 10.5755 9.50227
2360.86 1689.46 8.62877 7.27646
2363.93 1696.12 12.2718 1.56418
2379.93 1698.16 13.4873 1.50158
 2397.76   1697.9  11.2659 0.642489
2407.69 1701.76  8.8202 1.02158
 2420.38  1705.13  6.83218 0.948481
2418.95 1714.76 1.82353 1.49545
  2424.62   1707.02   4.60424 -0.237502
2426.03 1706.35 3.70878 5.29726
  2429.6  1718.62 0.100565  9.71971
2430.57 1725.84 1.22511 10.9544
2431.25 1734.24 1.69136 12.4501
2439.52  1747.5 2.83043 13.5384
 2435.89  1775.04 0.525251  17.4273
2442.86 1781.69 1.75277 15.6838
 2436.73  1791.11 0.204967  13.3777
2439.85 1813.46 1.10367 16.1942
 2447.5 1831.81 1.90015  16.622
 2442.46  1848.82 0.371082  14.4979
2446.95 1861.47 1.30607 15.5042
2448.16 1877.65 1.23673 16.2255
2450.33 1899.11 1.17612 14.9244
2454.13 1911.14 1.48246 15.6165
  2454.22   1929.39 -0.355805   16.5081
 2447.69  1948.79 -2.23944  14.7872
  2448.9  1960.28 -1.33057  15.4372
 2449.11  1974.07 -1.15811  15.9582
 2443.97     1997 -1.61728  15.1292
 2445.49  2011.84 -1.10821  15.9483
 2440.65  2030.14 -1.65125  16.4951
  2446.02   2047.02 -0.355676   14.5264
  2433.8  2057.02 -2.01557  15.1747
   2444.53    2074.19 -0.0556196    16.2719
 2435.98  2099.16 -4.38161  16.8151
 2428.09  2118.49 -13.5201  14.9591
 2407.62  2120.24 -21.7342  3.92382
 2381.52  2113.78 -20.2663   -4.066
 2362.32   2113.6 -21.2836 -1.71414
   2346.8   2115.53  -21.1105 -0.735971
 2310.63  2111.27  -20.936 -1.10614
 2295.48  2120.97  -20.936 0.283264
  2265.46   2117.45  -22.6952 -0.751501
 2247.48  2123.82 -18.8411 0.271205
 2226.83  2119.04 -20.7561 -3.10532
 2205.75  2110.31 -20.6253 -7.53743
 2191.77  2104.81 -13.9146 -4.91994
 2174.54  2100.26 -12.2152 -7.21923
2160.46 2090.53 -10.348 -6.2632
 2156.92  2081.87 -4.80078 -3.71142
 2148.49  2077.08  -4.5187 -2.91471
 2148.72   2080.1 -2.41008 -1.16992
  2145.2  2081.71 -4.84474 -2.32747
 2135.73  2067.42 -5.77692 -6.60823
 2131.05  2060.15 -6.62953 -7.46758
